title,cover_image,ean,publication_date,summary,book_format,authors
Les Pestaculaires T2 : Âge bête,9782810204304_C.jpg,9782810204304,09/10/2024,"Paris, 1892. Pétronille a grandi et a intégré la troupe de saltimbanques aux côtés de Felix, Évariste et Eustache. Après la découverte d'un message dans une bouteille, ils s'embarquent dans un jeu de piste qui pourrait les mener au trésor des dames de Montmartre. La troupe devra composer avec le retour d'Ignace Roublot, évadé de prison, ainsi que l'étrange Arsène Lapin…",21.6x28.1cm,"Arnaud Poitevin (Illustrateur), Régis Hautière (Auteur)"
Cigish,9782810208876_C.jpg,9782810208876,25/09/2024,"Florence vit une crise existentielle : elle vient de rompre, a ses enfants affreux en garde alternée et son activité d'autrice de BD est au plus bas. Elle n'en peut plus : ennuyeuse, trop gentille, elle se fait marcher dessus par tout le monde. Soudain, en pleine messe, une illumination la décide à incarner son ancien personnage de jeu de rôles, Cigish Hexorotte, un nain nécromancien et maléfique. Sa vie, elle l'envisage désormais comme une aventure, obéissant à sa vieille fiche de personnage.",18.8x25.5cm,Florence Dupré la Tour (Texte et illustration de)
Jaune T1,9782810206957_C.jpg,9782810206957,25/09/2024,"Il est dit qu'un mystérieux tueur au ciré jaune, armé d'une machette et portant une biche sur l'épaule, sévissait il y a longtemps dans la région. C'est en tout cas l'histoire que racontent les moniteurs du camp de vacances auquel participe Lucie, une jeune orpheline, dans le but d'effrayer les adolescents. Moquée et mise à l'écart du groupe, celle-ci subit au quotidien les humiliations de ses camarades, jusqu'à ce que les choses dérapent de manière irréversible. Au même moment, dans un paisible quartier résidentiel, une jeune femme et son ami sont sauvagement assassinés par un mystérieux personnage semblant tout droit issu de la légende…",0x0cm,"Run (Scénariste et dessinateur), Rours (Illustration de)"
Le Château des étoiles : intégrale T1 + T2,9782810208784_C.jpg,9782810208784,18/09/2024,"Et si la conquête des étoiles avait un siècle d'avance ? 1868. À bord de son ballon de haute altitude, la mère de Séraphin disparaît mystérieusement à la frontière de l'espace. Un an plus tard, une lettre anonyme révèle que son carnet de bord a été retrouvé... Séraphin et son père, échappant de justesse à un enlèvement, suivent la piste du carnet jusque dans les contreforts des Alpes. C'est là, à l'ombre d'un château de conte de fées, que le roi Ludwig de Bavière a entrepris la construction d'un engin spatial de cuivre et de bois qui s'apprête à changer le cours de l'Histoire.Cette intégrale regroupe les deux premiers volumes de la série constituant son premier cycle : 1869 : la conquête de l'espace.",25.1x34cm,Alex Alice (Auteur + illustrateur)
"Les Évasions perdues - Stablack, l'université de la collaboration",9782810208777_C.jpg,9782810208777,18/09/2024,"Lorsque la France s'effondre en juin 1940, Jacques Leboy se retrouve comme tant d'autres déporté vers l'est sans aucune certitude sur son avenir. Arrivé au terme de son voyage au camp de Stalback, il est assigné à un segment du stalag 1A peu commun. Cette section dite « aspilag », fruit d'un accord entre les autorités nazies et le gouvernement de Vichy, était en effet destinée à n'accueillir que des aspirants officiers de l'armée française vaincue. Dans ce camp-université, un seul but : former une élite française pour la « nouvelle europe » d'après la victoire allemande. Au gré de sa captivité et de ses tentatives d'évasions, Jacques questionnera tour à tour ses choix politiques et moraux, ainsi que sa foi en la religion et en l'humanité. Jusqu'à pouvoir, près de quarante ans plus tard, raconter ce pan méconnu de l'histoire à son plus jeune fils.",21.8x28.3cm,"Thomas Legrand (Scénario de), François Warzala (Illustration de)"
Le Château des étoiles – Gazette n°24 – Le Cœur de Vénus,9782810208746_C.jpg,9782810208746,18/09/2024,"En route pour Vénus à la recherche d'une mystérieuse structure extraterrestre, Séraphin et ses amis s'écrasent au coeur d'un continent inexploré. Perdus dans une jungle infestée de monstres primordiaux, ils devront compter sur des alliés inattendus pour franchir la barrière de l'inconnu, affronter de nouvelles menaces, d'anciens ennemis, et découvrir enfin les secrets de la planète des brumes…",0x0cm,Alex Alice (Auteur + illustrateur)
D'Or et d'Oreillers,9782810205912_C.jpg,9782810205912,18/09/2024,"Lord Handerson, un riche héritier, a conçu un test pour choisir au mieux sa future épouse. Chaque candidate est invitée à passer une nuit à Blenkinsop Castle, seule, dans une chambre au centre de laquelle se trouve un lit d'une hauteur invraisemblable. Pour l'heure, les prétendantes, toutes filles de bonne famille, ont été renvoyées chez elles au petit matin, sans aucune explication. Mais voici que Lord Handerson propose à Sadima de passer l'épreuve. Robuste et vaillante, simple femme de chambre, Sadima n'a pourtant rien d'une princesse. Et pour cause, l'histoire que va vivre cette dernière, si elle s'apparente bien à de l'amour, est loin d'être un conte de fées...",21.7x28.1cm,"Mayalen Goust (Illustrateur), Flore Vesco (D'après l’œuvre de)"
Jane face aux Sirènes,9782810208661_C.jpg,9782810208661,11/09/2024,"Jane est une adolescente ordinaire et peu appréciée. Quand ses riches parents décèdent lors d'un accident, Jane, adolescente ordinaire, se retrouve dépossédée de ses biens, à moins qu'elle ne se marie avec son horrible cousin qui ne la considère qu'avec dédain. Son autre solution : trouver le plus rapidement possible son futur mari, en l'occurrence le beau Peter, qui pourrait ben accepter pour s'éloigner de son père le condamnant à un avenir qu'il n'a pas choisi. Le plan aurait été parfait, si Peter n'avait pas été kidnappé par une sirène ! Sa dernière chance de bonheur étant perdue dans les profondeurs de la mer, Jane doit s'aventurer dans le monde sous-marin pour sauver son fiancé. Les mystères et les créatures qui l'y attendent vont amener Jane, que tous voient comme banale et méprisable, à se découvrir une force et une volonté uniques.",18.5x25.5cm,"Alice Delarbre (Traducteur), Vera Brosgol (Auteur + illustrateur)"
Le Petit monde de Kabocha,9782810207695_C.jpg,9782810207695,11/09/2024,"Comme il est doux de vivre à la campagne… et ce n'est pas Kabocha qui dira le contraire ! Entre deux siestes bien méritées, chaque balade de l'adorable félin est prétexte à explorer tout ce que la nature lui offre. Aux côtés des renards, écureuils et autres pics-verts, elle gambade dans les champs, parcourt la forêt, chasse des proies, fuit ses prédateurs… Mais son passe-temps favori reste de grimper sur le toit de la maison pour miauler jusqu'à ce que son maître vienne la chercher.Une irrésistible tranche de vie animalière de Daisuke Igarashi à savourer sans compter !",15.3x21cm,"Igarashi Daisuke (Texte et illustration de), Fédoua Lamodière (Traduction de)"
Petit Requin T2,9782810207671_C.jpg,9782810207671,11/09/2024,"Quelle agitation dans la galerie marchande dans laquelle Petit Requin adore se promener ! La ville de Huit-Poissons aurait-elle trouvé sa nouvelle mascotte ? Pour ses habitants, il est temps de rencontrer... ""Requin Masqué"" ! De l'adoption d'un ballon-chien au bain bien mérité de son doudou, Petit Requin a de nouvelles adorables histoires à raconter !",15.2x20.8cm,"Penguin Box (Texte et illustration de), Diane Durocher (Traduction de)"
Omula et Rema T2 : La Naissance d'un empire,9782810201570_C.jpg,9782810201570,28/08/2024,"Après leur naufrage sur la Terre – nommée Ertha sur leur planète d'origine – Omula et Rema sont recueillies par la solitaire Lupavia. Avec l'aide de l'architecte Aaxius, elle apprend aux jeunes filles qu'elle croit être des élues des Dieux, les rudiments d'une vie de mercenaires en marge de la cité d'Albalonga, dans l'attente de voir s'accomplir la destinée divine à laquelle elles sont supposément vouées. Avec les années, Rema, que sa sœur Omula a toujours refusé de considérer autrement que comme le simple clone qu'elle est, nourri une rancœur toujours plus profonde envers sa jumelle. Le conflit opposant les jeunes filles, aussi intense que leurs propres ambitions, aura bientôt une incidence majeure sur les peuples du Latium…et sur l'histoire de l'humanité.",24x32cm,"Jorge Miguel (Illustrateur), Yves Sente (Scénariste)"
Une Rose seule,9782810200795_C.jpg,9782810200795,28/08/2024,"Rose arrive au Japon pour la première fois de sa vie, sur les traces d'un père qu'elle n'a jamais connu. Celui-ci, décédé depuis peu, lui avait laissé une lettre à son intention, l'invitant à se rendre dans ce pays si lointain qui est en partie le sien. Accueillie à Kyoto, elle est guidée par Paul, l'assistant de son père, à travers un itinéraire imaginé par le défunt, semé de temples et de jardins, d'émotions et de rencontres, qui va lui permettre dépasser l'amertume et la colère liées à l'absence pour se laisser emporter par le tourbillon de ses origines enfin retrouvées.",21.4x27.5cm,"Kan Takahama (Illustrateur), Muriel Barbery (Scénario de)"
